id;wkt
0;POLYGON((-875047.567135 -1026769.32024, -875047.567135 -1006769.32024, -874698.519007 -1006772.36634, -875047.567135 -1026769.32024))
1;POLYGON((-875047.567135 -1026769.32024, -874698.519007 -1006772.36634, -874349.577201 -1006781.5037, -875047.567135 -1026769.32024))
2;POLYGON((-875047.567135 -1026769.32024, -874349.577201 -1006781.5037, -874000.848011 -1006796.72955, -875047.567135 -1026769.32024))
3;POLYGON((-875047.567135 -1026769.32024, -874000.848011 -1006796.72955, -873652.437661 -1006818.03924, -875047.567135 -1026769.32024))
4;POLYGON((-875047.567135 -1026769.32024, -873652.437661 -1006818.03924, -873304.452281 -1006845.42628, -875047.567135 -1026769.32024))
5;POLYGON((-875047.567135 -1026769.32024, -873304.452281 -1006845.42628, -872956.99787 -1006878.88233, -875047.567135 -1026769.32024))
6;POLYGON((-875047.567135 -1026769.32024, -872956.99787 -1006878.88233, -872610.180267 -1006918.39721, -875047.567135 -1026769.32024))
7;POLYGON((-875047.567135 -1026769.32024, -872610.180267 -1006918.39721, -872264.105116 -1006963.95887, -875047.567135 -1026769.32024))
8;POLYGON((-875047.567135 -1026769.32024, -872264.105116 -1006963.95887, -871918.877835 -1007015.55343, -875047.567135 -1026769.32024))
9;POLYGON((-875047.567135 -1026769.32024, -871918.877835 -1007015.55343, -871574.603582 -1007073.16518, -875047.567135 -1026769.32024))
10;POLYGON((-875047.567135 -1026769.32024, -871574.603582 -1007073.16518, -871231.387228 -1007136.77657, -875047.567135 -1026769.32024))
11;POLYGON((-875047.567135 -1026769.32024, -871231.387228 -1007136.77657, -870889.333319 -1007206.36823, -875047.567135 -1026769.32024))
12;POLYGON((-875047.567135 -1026769.32024, -870889.333319 -1007206.36823, -870548.546049 -1007281.91894, -875047.567135 -1026769.32024))
13;POLYGON((-875047.567135 -1026769.32024, -870548.546049 -1007281.91894, -870209.129223 -1007363.40571, -875047.567135 -1026769.32024))
14;POLYGON((-875047.567135 -1026769.32024, -870209.129223 -1007363.40571, -869871.186233 -1007450.80371, -875047.567135 -1026769.32024))
15;POLYGON((-875047.567135 -1026769.32024, -869871.186233 -1007450.80371, -869534.820019 -1007544.08632, -875047.567135 -1026769.32024))
16;POLYGON((-875047.567135 -1026769.32024, -869534.820019 -1007544.08632, -869200.133041 -1007643.22512, -875047.567135 -1026769.32024))
