id;wkt
0;POLYGON((-875047.567135455 -1026769.3202403553, -875047.567135455 -1006769.3202403553, -874698.5190067093 -1006772.3663372275, -875047.567135455 -1026769.3202403553))
1;POLYGON((-875047.567135455 -1026769.3202403553, -874698.5190067093 -1006772.3663372275, -874349.577201405 -1006781.5036999735, -875047.567135455 -1026769.3202403553))
2;POLYGON((-875047.567135455 -1026769.3202403553, -874349.577201405 -1006781.5036999735, -874000.8480105961 -1006796.7295452638, -875047.567135455 -1026769.3202403553))
3;POLYGON((-875047.567135455 -1026769.3202403553, -874000.8480105961 -1006796.7295452638, -873652.4376605725 -1006818.0392351588, -875047.567135455 -1026769.3202403553))
4;POLYGON((-875047.567135455 -1026769.3202403553, -873652.4376605725 -1006818.0392351588, -873304.4522805018 -1006845.4262785204, -875047.567135455 -1026769.3202403553))
5;POLYGON((-875047.567135455 -1026769.3202403553, -873304.4522805018 -1006845.4262785204, -872956.997870102 -1006878.8823329898, -875047.567135455 -1026769.3202403553))
6;POLYGON((-875047.567135455 -1026769.3202403553, -872956.997870102 -1006878.8823329898, -872610.180267352 -1006918.3972075289, -875047.567135455 -1026769.3202403553))
7;POLYGON((-875047.567135455 -1026769.3202403553, -872610.180267352 -1006918.3972075289, -872264.1051162537 -1006963.9588655239, -875047.567135455 -1026769.3202403553))
8;POLYGON((-875047.567135455 -1026769.3202403553, -872264.1051162537 -1006963.9588655239, -871918.8778346503 -1007015.5534284526, -875047.567135455 -1026769.3202403553))
9;POLYGON((-875047.567135455 -1026769.3202403553, -871918.8778346503 -1007015.5534284526, -871574.6035821163 -1007073.1651801112, -875047.567135455 -1026769.3202403553))
10;POLYGON((-875047.567135455 -1026769.3202403553, -871574.6035821163 -1007073.1651801112, -871231.3872279241 -1007136.7765714021, -875047.567135455 -1026769.3202403553))
11;POLYGON((-875047.567135455 -1026769.3202403553, -871231.3872279241 -1007136.7765714021, -870889.3333190997 -1007206.3682256793, -875047.567135455 -1026769.3202403553))
12;POLYGON((-875047.567135455 -1026769.3202403553, -870889.3333190997 -1007206.3682256793, -870548.5460485776 -1007281.9189446507, -875047.567135455 -1026769.3202403553))
13;POLYGON((-875047.567135455 -1026769.3202403553, -870548.5460485776 -1007281.9189446507, -870209.1292234616 -1007363.4057148354, -875047.567135455 -1026769.3202403553))
14;POLYGON((-875047.567135455 -1026769.3202403553, -870209.1292234616 -1007363.4057148354, -869871.1862334046 -1007450.803714574, -875047.567135455 -1026769.3202403553))
15;POLYGON((-875047.567135455 -1026769.3202403553, -869871.1862334046 -1007450.803714574, -869534.820019115 -1007544.086321589, -875047.567135455 -1026769.3202403553))
16;POLYGON((-875047.567135455 -1026769.3202403553, -869534.820019115 -1007544.086321589, -869200.1330410002 -1007643.2251210946, -875047.567135455 -1026769.3202403553))
17;POLYGON((-875047.567135455 -1026769.3202403553, -869200.1330410002 -1007643.2251210946, -868867.227247956 -1007748.1899144523, -875047.567135455 -1026769.3202403553))
18;POLYGON((-875047.567135455 -1026769.3202403553, -868867.227247956 -1007748.1899144523, -868536.2040463118 -1007858.948728369, -875047.567135455 -1026769.3202403553))
19;POLYGON((-875047.567135455 -1026769.3202403553, -868536.2040463118 -1007858.948728369, -868207.1642689416 -1007975.4678246372, -875047.567135455 -1026769.3202403553))
20;POLYGON((-875047.567135455 -1026769.3202403553, -868207.1642689416 -1007975.4678246372, -867880.2081445489 -1008097.7117104112, -875047.567135455 -1026769.3202403553))
